"learner.id","auc","timepredict","timetrain","estrategia"
"SVM",0.909784226190476,0.113000000004831,7.53199999999924,"Múltiplos Modelos Binários"
"SVM",0.934852216748769,0.109000000004016,7.2300000000032,"Múltiplos Modelos Binários"
"SVM",0.950307881773399,0.116000000001804,7.50300000000425,"Múltiplos Modelos Binários"
"SVM",0.926108374384236,0.151000000005297,7.24700000000303,"Múltiplos Modelos Binários"
"SVM",0.922906403940887,0.118000000002212,7.32400000000052,"Múltiplos Modelos Binários"
"SVM",0.958251231527094,0.121999999995751,7.46499999999651,"Múltiplos Modelos Binários"
"SVM",0.958499697519661,0.117999999994936,7.36200000000099,"Múltiplos Modelos Binários"
"SVM",0.889408866995074,0.118000000002212,7.27999999999884,"Múltiplos Modelos Binários"
"SVM",0.915426587301587,0.112999999997555,7.40000000000146,"Múltiplos Modelos Binários"
"SVM",0.956473214285714,0.116000000001804,7.76800000000367,"Múltiplos Modelos Binários"
"SVM",0.948474702380952,0.114999999997963,7.58299999999872,"Múltiplos Modelos Binários"
"SVM",0.874384236453202,0.11200000000099,7.52100000000064,"Múltiplos Modelos Binários"
"SVM",0.936817956349206,0.114000000001397,7.40000000000146,"Múltiplos Modelos Binários"
"SVM",0.945689655172414,0.11699999999837,7.53600000000006,"Múltiplos Modelos Binários"
"SVM",0.93423645320197,0.114000000001397,7.64000000000669,"Múltiplos Modelos Binários"
"SVM",0.932078460038986,0.118999999998778,7.53299999999581,"Múltiplos Modelos Binários"
"SVM",0.93128078817734,0.119999999995343,7.5089999999982,"Múltiplos Modelos Binários"
"SVM",0.932389162561576,0.119999999995343,7.61200000000099,"Múltiplos Modelos Binários"
"SVM",0.928325123152709,0.119000000006054,7.4519999999975,"Múltiplos Modelos Binários"
"SVM",0.94993842364532,0.114999999997963,7.38100000000122,"Múltiplos Modelos Binários"
"SVM",0.922619047619048,0.118000000002212,7.48199999999633,"Múltiplos Modelos Binários"
"SVM",0.941748768472906,0.113000000004831,7.46899999999732,"Múltiplos Modelos Binários"
"SVM",0.938546798029557,0.115000000005239,7.74900000000343,"Múltiplos Modelos Binários"
"SVM",0.928199404761905,0.110000000000582,7.27100000000064,"Múltiplos Modelos Binários"
"SVM",0.937804580896686,0.120999999999185,7.68300000000454,"Múltiplos Modelos Binários"
"SVM",0.94679802955665,0.114000000001397,7.71399999999994,"Múltiplos Modelos Binários"
"SVM",0.910406403940887,0.114000000001397,7.36699999999837,"Múltiplos Modelos Binários"
"SVM",0.9314039408867,0.117000000005646,7.85199999999895,"Múltiplos Modelos Binários"
"SVM",0.955849753694581,0.116000000001804,7.66500000000087,"Múltiplos Modelos Binários"
"SVM",0.896613300492611,0.108000000000175,7.58299999999872,"Múltiplos Modelos Binários"
"SVM",0.909605911330049,0.114000000001397,7.37799999999697,"Múltiplos Modelos Binários"
"SVM",0.959697420634921,0.11699999999837,7.58199999999488,"Múltiplos Modelos Binários"
"SVM",0.904556650246305,0.11699999999837,7.49700000000303,"Múltiplos Modelos Binários"
"SVM",0.927339901477833,0.120000000002619,7.70500000000175,"Múltiplos Modelos Binários"
"SVM",0.974014778325123,0.112999999997555,7.61300000000483,"Múltiplos Modelos Binários"
"SVM",0.940662202380952,0.114999999997963,7.48099999999977,"Múltiplos Modelos Binários"
"SVM",0.932019704433498,0.110999999997148,7.28499999999622,"Múltiplos Modelos Binários"
"SVM",0.93448275862069,0.115000000005239,7.70700000000215,"Múltiplos Modelos Binários"
"SVM",0.938368055555556,0.118000000002212,7.59700000000157,"Múltiplos Modelos Binários"
"SVM",0.896793708408953,0.114999999997963,7.38700000000244,"Múltiplos Modelos Binários"
"SVM",0.922371031746032,0.111000000004424,7.9230000000025,"Múltiplos Modelos Binários"
"SVM",0.924231150793651,0.114999999997963,7.50499999999738,"Múltiplos Modelos Binários"
"SVM",0.937686011904762,0.131000000001222,7.25800000000163,"Múltiplos Modelos Binários"
"SVM",0.938177339901478,0.114999999997963,7.46600000000035,"Múltiplos Modelos Binários"
"SVM",0.94384236453202,0.105999999999767,7.47299999999814,"Múltiplos Modelos Binários"
"SVM",0.961699507389163,0.118000000002212,7.46699999999691,"Múltiplos Modelos Binários"
"SVM",0.920197044334975,0.113000000004831,7.36000000000058,"Múltiplos Modelos Binários"
"SVM",0.942649727767695,0.114000000001397,7.80900000000111,"Múltiplos Modelos Binários"
"SVM",0.883374384236453,0.118999999998778,7.46199999999953,"Múltiplos Modelos Binários"
"SVM",0.946059113300493,0.112999999997555,7.2390000000014,"Múltiplos Modelos Binários"
"SVM",0.927155172413793,0.112999999997555,7.3839999999982,"Múltiplos Modelos Binários"
"SVM",0.937012670565302,0.118000000002212,7.53800000000047,"Múltiplos Modelos Binários"
"SVM",0.94692118226601,0.114000000001397,7.45999999999913,"Múltiplos Modelos Binários"
"SVM",0.922290640394089,0.110999999997148,7.6449999999968,"Múltiplos Modelos Binários"
"SVM",0.920882936507937,0.117999999994936,7.57900000000518,"Múltiplos Modelos Binários"
"SVM",0.918226600985222,0.124000000003434,7.64199999999983,"Múltiplos Modelos Binários"
"SVM",0.908374384236453,0.118000000002212,7.5570000000007,"Múltiplos Modelos Binários"
"SVM",0.924137931034483,0.114999999997963,7.4539999999979,"Múltiplos Modelos Binários"
"SVM",0.976190476190476,0.117999999994936,7.59799999999814,"Múltiplos Modelos Binários"
"SVM",0.927155172413793,0.118000000002212,7.51199999999517,"Múltiplos Modelos Binários"
"SVM",0.938793103448276,0.118000000002212,7.68800000000192,"Múltiplos Modelos Binários"
