"task.id","learner.id","iter","acc","bac","auc","timepredict","timetrain"
"dsLabel",1,1,0.737623762376238,0.734598140991639,0.900219062834146,0.0950000000011642,2.125
"dsLabel",1,2,0.741293532338308,0.753602873030584,0.878472651288916,0.0989999999983411,2.1239999999998
"dsLabel",1,3,0.75,0.714043564963951,0.878601012425219,0.092000000000553,2.53700000000026
"dsLabel",1,4,0.741293532338308,0.737435997358707,0.879696936894027,0.0939999999973224,1.98600000000079
"dsLabel",1,5,0.771144278606965,0.759072838369893,0.911959912051951,0.0900000000001455,2.03299999999945
"dsLabel",1,6,0.736318407960199,0.720192258526359,0.90804411463926,0.0900000000001455,1.95799999999872
"dsLabel",1,7,0.776119402985075,0.804957304290024,0.925552409481118,0.139000000002852,1.95900000000256
"dsLabel",1,8,0.79,0.780240177064843,0.929738456818531,0.11699999999837,2.46199999999953
"dsLabel",1,9,0.755,0.742649508031468,0.90793059116575,0.151999999998225,2.74799999999959
"dsLabel",1,10,0.736318407960199,0.725028415548988,0.875050733030956,0.0930000000007567,4.17299999999886
"dsLabel",1,11,0.695,0.679921328862884,0.845861638872453,0.0929999999971187,1.9330000000009
"dsLabel",1,12,0.791044776119403,0.783298693425995,0.926476038926596,0.0910000000003492,1.96399999999994
"dsLabel",1,13,0.72,0.723688996997787,0.870453765184552,0.0900000000001455,2.01900000000023
"dsLabel",1,14,0.782178217821782,0.759795155464626,0.9170337008411,0.0900000000001455,2.00900000000183
"dsLabel",1,15,0.771144278606965,0.764627754768114,0.897709473163914,0.0910000000003492,1.91699999999764
"dsLabel",1,16,0.79,0.790856264331874,0.915206914622565,0.0930000000007567,2.06000000000131
"dsLabel",1,17,0.746268656716418,0.743489862414618,0.894732154133154,0.0960000000013679,2.03499999999985
"dsLabel",1,18,0.782178217821782,0.75864053699073,0.900241900516111,0.092000000000553,1.97400000000198
"dsLabel",1,19,0.77,0.772546183682861,0.897875934082791,0.0939999999973224,2.19399999999951
"dsLabel",1,20,0.756218905472637,0.752146290330828,0.901851319220739,0.0990000000019791,1.99500000000262
"dsLabel",1,21,0.735,0.726793110249162,0.883201886061987,0.101999999998952,2.13100000000122
"dsLabel",1,22,0.762376237623762,0.745616427976055,0.895818266076185,0.0969999999979336,2.22400000000198
"dsLabel",1,23,0.776119402985075,0.756828756966815,0.912206378222063,0.0910000000003492,1.96699999999691
"dsLabel",1,24,0.746268656716418,0.744680338605094,0.874735221208283,0.0999999999985448,2.00599999999758
"dsLabel",1,25,0.761194029850746,0.747880741294017,0.913115570999181,0.0930000000007567,1.98400000000038
"dsLabel",1,26,0.72636815920398,0.725790637623357,0.871042373290609,0.092000000000553,1.97399999999834
"dsLabel",1,27,0.79,0.779284728157255,0.919685297189899,0.092000000000553,2.07500000000073
"dsLabel",1,28,0.741293532338308,0.724078335122974,0.894149579860579,0.0980000000017753,2.08600000000297
"dsLabel",1,29,0.796019900497512,0.791324056333149,0.926578803985033,0.117000000002008,2.08300000000236
"dsLabel",1,30,0.76,0.746419637273296,0.912998575498575,0.0990000000019791,2.23800000000119
"dsLabel",1,31,0.698019801980198,0.68795243868556,0.886329875757397,0.0910000000003492,1.94000000000233
"dsLabel",1,32,0.761194029850746,0.738772562253924,0.907646097163278,0.0900000000001455,2.02699999999822
"dsLabel",1,33,0.71,0.692684022527557,0.871387957545344,0.0979999999981374,1.98199999999997
"dsLabel",1,34,0.728643216080402,0.721686545162155,0.895681415468001,0.0910000000003492,2.2510000000002
"dsLabel",1,35,0.785,0.779699449959459,0.929684384107992,0.102999999999156,2.04500000000189
"dsLabel",1,36,0.787128712871287,0.779500075774797,0.905768637092044,0.0989999999983411,2.03900000000067
"dsLabel",1,37,0.791044776119403,0.765791467757824,0.921275614587731,0.0990000000019791,2.07400000000052
"dsLabel",1,38,0.72,0.711776565205005,0.87407502976647,0.114000000001397,2.01499999999942
"dsLabel",1,39,0.797029702970297,0.786678790634235,0.910636869630864,0.091999999996915,2.08699999999953
"dsLabel",1,40,0.751243781094527,0.742973104259344,0.873110579900348,0.092000000000553,2.03199999999924
"dsLabel",1,41,0.74,0.729733964455548,0.918571720757639,0.0910000000003492,1.93999999999869
"dsLabel",1,42,0.761194029850746,0.738502198701232,0.899992578673166,0.0930000000007567,2.04899999999907
"dsLabel",1,43,0.756218905472637,0.757150253106305,0.880764417969127,0.140000000003056,2.17000000000189
"dsLabel",1,44,0.791044776119403,0.77912296084608,0.908822622024486,0.0969999999979336,2.28399999999965
"dsLabel",1,45,0.78,0.782251928288514,0.913770325203252,0.132999999997992,2.25599999999758
"dsLabel",1,46,0.786069651741294,0.774818952359302,0.913463070611286,0.0900000000001455,2.38199999999779
"dsLabel",1,47,0.74,0.739545394780093,0.893706646871051,0.0990000000019791,2.07099999999991
"dsLabel",1,48,0.787128712871287,0.787583983733677,0.922358055562572,0.114999999997963,2.04400000000169
"dsLabel",1,49,0.73134328358209,0.709199331016789,0.894204797627166,0.0940000000009604,2.05200000000332
"dsLabel",1,50,0.72636815920398,0.706871580508258,0.897091550055962,0.0940000000009604,1.93100000000049
"dsLabel",1,51,0.732673267326733,0.706809312722589,0.904291291651582,0.156999999999243,2.04799999999886
"dsLabel",1,52,0.746268656716418,0.733530832949839,0.911717138790885,0.105999999999767,1.94800000000032
"dsLabel",1,53,0.757425742574257,0.748351266702028,0.905840395123471,0.11200000000099,1.98600000000079
"dsLabel",1,54,0.771144278606965,0.773793015728683,0.906947376207435,0.0950000000011642,2.04099999999744
"dsLabel",1,55,0.72636815920398,0.707430843176356,0.864906143296234,0.092000000000553,1.96900000000096
"dsLabel",1,56,0.791044776119403,0.798809249884952,0.911631598234221,0.105000000003201,1.96800000000076
"dsLabel",1,57,0.756218905472637,0.757261119951504,0.902745302864648,0.092000000000553,2.04100000000108
"dsLabel",1,58,0.78894472361809,0.768787411775217,0.915297060662914,0.105999999999767,2.27599999999802
"dsLabel",1,59,0.81,0.803284355619837,0.91560780210228,0.0959999999977299,2.00800000000163
"dsLabel",1,60,0.795,0.790368812043916,0.921980292040117,0.0980000000017753,1.97199999999793
